foro,juiz,area,valor_causa,ano,prescricao,impugnacao_pericia,nulidade_prova,acordo_proposto,ilegitimidade,decadencia,vitoria
MG,J01,consumidor,140144.48907802496,2024,0,1,0,1,1,1,0
RJ,J01,trabalhista,14131.305090917,2024,0,0,0,0,0,1,0
SP,J03,trabalhista,33817.81302263675,2020,0,0,0,1,1,0,1
MG,J01,consumidor,14960.954204905278,2021,0,1,1,0,1,0,1
MG,J02,cível,130088.65059367208,2022,0,0,1,0,0,0,0
RS,J02,trabalhista,57634.364569287034,2024,1,0,0,1,0,0,1
RS,J03,consumidor,4938.279351658275,2022,0,0,0,1,0,1,0
RS,J01,consumidor,43290.47360999568,2023,1,0,0,0,0,0,1
SP,J01,consumidor,28108.574991201072,2023,0,0,0,0,0,0,0
RS,J02,cível,28481.677910781982,2022,0,0,0,1,0,1,0
RS,J02,cível,7925.96816427391,2020,0,1,0,0,1,1,0
RS,J03,cível,45918.426176578534,2024,0,0,1,0,0,1,0
RJ,J03,trabalhista,47802.9025099954,2022,1,0,0,1,0,1,1
MG,J02,trabalhista,53351.98045565832,2024,1,0,1,0,0,1,0
RS,J01,consumidor,8485.1263900398,2021,0,1,1,1,1,0,0
RJ,J03,trabalhista,1296.8351288788574,2023,0,0,1,0,1,1,0
RS,J01,consumidor,82575.71336807743,2020,1,1,1,0,1,0,1
SP,J03,trabalhista,50323.69369895709,2022,0,0,1,0,0,0,1
RJ,J03,agrário,204071.17457685535,2023,0,1,0,0,0,0,0
RJ,J02,consumidor,10025.363569446341,2021,0,0,0,1,1,0,1
RS,J03,trabalhista,72135.81928397168,2022,0,0,1,0,0,0,1
RJ,J01,trabalhista,23311.180642639218,2024,1,1,0,1,1,0,0
MG,J03,consumidor,91376.51196822668,2020,0,0,0,1,1,1,1
MG,J02,cível,39310.57681214876,2021,1,1,0,1,1,1,1
SP,J03,agrário,59596.65061883234,2022,0,0,1,0,1,1,0
MG,J03,agrário,6297.957798657554,2024,1,1,1,1,0,0,1
MG,J01,cível,4614.739732017022,2024,0,1,0,1,0,1,1
SP,J02,consumidor,13314.233085939199,2024,1,0,0,0,0,1,1
RJ,J03,cível,10100.426401984081,2024,1,0,1,1,1,1,1
RJ,J03,agrário,55863.5600206445,2020,1,0,0,1,0,0,1
MG,J01,agrário,6058.618807459795,2023,0,1,1,1,0,1,1
RS,J03,consumidor,278042.76449431654,2023,0,1,0,1,0,0,0
MG,J03,consumidor,62482.68721246195,2020,0,0,0,1,0,1,0
MG,J01,consumidor,17939.816110146494,2020,1,0,0,0,0,1,0
SP,J03,cível,9519.899983380361,2024,1,0,1,0,0,1,0
SP,J02,consumidor,69138.30506346097,2023,0,1,0,0,1,1,0
RS,J01,agrário,51848.37219527978,2022,0,1,1,1,0,1,0
SP,J01,agrário,23601.620069896308,2021,0,0,0,1,0,1,0
RS,J01,agrário,8652.26748118499,2022,1,0,1,1,0,1,1
SP,J02,consumidor,27051.446375879506,2024,0,0,0,0,1,0,1
RJ,J01,trabalhista,2605.0551206797245,2020,0,1,1,1,1,0,0
RS,J02,cível,18282.59663429228,2021,0,1,0,0,0,0,0
RJ,J03,trabalhista,12956.631849236614,2022,1,1,1,0,1,0,1
RS,J03,trabalhista,7560.438491665123,2020,0,0,0,1,0,0,0
SP,J03,trabalhista,12076.01811364791,2023,0,1,0,0,0,0,0
RJ,J01,agrário,14494.644923409494,2024,0,0,1,1,0,0,0
MG,J03,cível,7598.920806515403,2024,0,1,1,0,0,0,1
RS,J02,trabalhista,117514.1364489344,2020,0,0,0,0,0,1,0
MG,J01,trabalhista,10352.47104062752,2022,1,1,1,0,0,1,1
RS,J01,cível,7515.414565684647,2022,0,0,1,0,0,0,0
SP,J02,trabalhista,38209.02823840639,2024,0,1,0,1,0,1,0
SP,J03,agrário,9282.646261244254,2024,1,0,0,1,1,0,1
RJ,J02,agrário,7383.826272912004,2020,0,0,1,1,0,0,1
MG,J03,cível,52579.28792070597,2020,1,0,1,1,0,1,0
SP,J01,trabalhista,35073.87303999657,2021,1,1,0,1,0,0,1
MG,J03,cível,6159.726348001603,2023,1,1,1,1,1,1,1
RS,J02,trabalhista,61842.34225456681,2021,0,0,0,1,0,0,0
MG,J03,cível,20880.570256784224,2023,0,1,0,0,0,1,1
RS,J02,consumidor,9380.890947574044,2021,0,1,0,1,0,0,1
MG,J02,trabalhista,7153.835338489974,2024,1,1,1,0,1,1,1
SP,J03,trabalhista,70682.94531855188,2021,0,1,0,0,1,1,0
RS,J03,agrário,22588.327351563777,2022,0,1,1,1,0,1,0
MG,J03,consumidor,60561.58180486676,2021,0,0,1,0,1,1,1
SP,J02,agrário,26460.364390935752,2021,1,0,0,0,1,1,0
RS,J01,cível,18779.494864960965,2023,1,1,0,1,0,0,0
RS,J01,cível,10694.575546478372,2022,1,0,1,1,0,0,1
RS,J02,agrário,18873.24826830257,2023,0,1,0,0,1,1,0
RJ,J03,consumidor,27749.07895751155,2021,1,0,1,1,1,1,1
RS,J01,cível,13849.989469116592,2020,0,0,0,1,1,1,0
RS,J01,trabalhista,18222.4890135075,2024,0,0,1,1,1,0,0
MG,J03,agrário,7135.9145651614235,2022,0,1,1,1,0,1,0
RJ,J02,agrário,10747.219405461017,2024,0,1,1,1,0,1,0
SP,J01,trabalhista,47064.95763497297,2021,1,0,0,1,0,1,0
SP,J02,trabalhista,13124.101090080718,2021,1,0,0,0,0,1,1
SP,J02,consumidor,43707.03599681068,2024,0,0,0,1,1,0,0
SP,J01,consumidor,15853.873782234761,2021,1,1,0,0,0,0,1
MG,J02,cível,24773.68420040303,2022,1,0,0,1,0,1,1
MG,J02,cível,15764.925497223978,2023,0,1,0,0,1,0,0
RJ,J01,consumidor,9976.975870336444,2024,0,0,1,1,0,1,0
RJ,J02,consumidor,24728.479610100338,2021,1,1,0,1,0,0,1
SP,J01,consumidor,20601.1389476793,2020,0,0,0,0,1,1,0
RJ,J02,trabalhista,123396.71900297079,2021,0,0,1,0,1,0,0
RJ,J01,consumidor,12870.757397926389,2021,0,0,1,0,0,0,0
RS,J03,trabalhista,1054.3614709687517,2022,0,1,0,1,0,1,0
SP,J03,consumidor,55237.901266386776,2022,0,1,1,1,1,0,1
RJ,J01,agrário,38320.989853054416,2020,1,0,0,0,0,0,1
RS,J03,trabalhista,165746.79191303995,2023,0,0,1,0,0,0,0
RS,J02,trabalhista,48627.59672635994,2023,1,1,1,0,0,0,1
MG,J02,cível,20685.420375866386,2021,1,0,0,1,1,0,0
MG,J02,agrário,3318.491859264272,2022,0,1,0,1,0,1,0
RJ,J01,agrário,15956.881258322961,2023,0,0,0,0,1,0,0
SP,J01,trabalhista,60974.72582163026,2020,1,0,0,1,0,0,0
RJ,J02,trabalhista,9282.731059510457,2024,1,0,0,1,0,1,0
SP,J03,trabalhista,58550.177214603085,2022,0,1,1,0,0,1,1
SP,J03,trabalhista,107992.36220728506,2020,1,1,1,0,0,1,0
SP,J03,cível,40597.504888888616,2020,1,0,1,1,0,0,0
SP,J01,agrário,15396.240770234846,2024,0,1,0,1,1,1,0
SP,J02,agrário,13658.458779393886,2023,0,1,1,0,1,1,0
RS,J02,consumidor,43088.67646334194,2020,1,0,1,0,1,0,0
RS,J02,consumidor,98704.79027157633,2023,1,1,1,0,1,1,0
MG,J03,cível,111785.6227425583,2023,0,0,0,1,1,0,1
RS,J01,cível,29078.93471017364,2024,0,1,0,0,0,0,0
RJ,J03,trabalhista,102736.3250320748,2021,0,1,0,0,1,0,0
MG,J03,consumidor,18549.222610759032,2023,0,0,0,0,0,0,0
SP,J03,agrário,13964.96526725426,2021,1,0,1,0,1,0,0
RJ,J03,trabalhista,17305.31287684107,2021,0,1,0,0,0,0,0
RJ,J03,agrário,10317.538063878881,2021,0,1,0,0,1,0,0
MG,J02,consumidor,13513.798492977394,2023,0,0,1,0,0,1,0
RJ,J01,trabalhista,12379.170304186911,2021,0,1,1,1,1,0,0
MG,J02,agrário,15022.347794409225,2021,1,1,0,1,1,1,0
RS,J01,trabalhista,11454.856366490516,2024,1,1,1,1,0,1,1
MG,J03,trabalhista,45710.991540304945,2023,1,0,0,0,0,0,1
MG,J02,agrário,39310.60304887933,2021,1,1,1,1,0,1,0
SP,J01,cível,16441.65063334281,2023,0,0,1,1,1,0,0
SP,J01,consumidor,50898.883911563535,2021,1,1,1,1,1,0,0
RJ,J03,cível,18397.519835150513,2022,0,0,1,1,0,1,0
SP,J02,agrário,3142.0863160461777,2024,1,1,0,1,0,0,1
RJ,J02,cível,51309.84060972971,2023,1,1,1,1,1,1,0
MG,J01,consumidor,7778.296249857919,2024,1,1,0,1,0,1,1
MG,J01,agrário,44798.34110753021,2024,1,0,1,1,0,0,1
RJ,J01,trabalhista,10721.245708793978,2022,0,1,1,1,1,1,1
MG,J03,trabalhista,20246.714301964035,2024,0,0,1,1,1,0,0
MG,J01,trabalhista,25133.47330118029,2024,0,1,1,1,0,1,0
RJ,J01,trabalhista,25302.978040143273,2024,0,0,1,1,0,1,0
MG,J03,cível,32584.00956176117,2022,1,1,0,1,1,0,0
RS,J02,cível,19462.378028468742,2024,1,0,0,1,1,0,0
RJ,J01,agrário,14658.32176500743,2021,0,0,1,0,1,0,0
RJ,J01,agrário,48273.126607658894,2022,0,1,1,0,1,0,1
MG,J01,trabalhista,68991.00918857304,2022,1,1,0,1,1,1,0
MG,J02,trabalhista,10882.332865155237,2022,0,1,1,1,1,0,1
SP,J03,trabalhista,8564.966516220178,2020,1,1,0,1,0,0,0
MG,J03,cível,5037.335258935904,2021,0,1,0,0,1,1,1
RJ,J01,trabalhista,67678.85429467363,2023,1,1,0,0,1,0,0
RJ,J01,agrário,30079.355642668143,2023,0,1,1,0,0,1,0
MG,J03,agrário,13407.985947712528,2023,1,1,1,1,0,1,1
MG,J03,consumidor,12645.05845987159,2021,1,0,0,1,0,0,1
SP,J02,consumidor,19428.025188721243,2021,1,0,0,0,1,0,1
SP,J01,trabalhista,10082.96875750822,2021,1,1,0,1,1,1,0
MG,J01,cível,196344.2939052809,2023,1,0,0,0,0,1,0
SP,J02,cível,16991.443626842305,2021,0,1,1,1,1,1,0
RS,J01,trabalhista,25082.290267806282,2021,0,1,0,1,0,0,1
MG,J01,trabalhista,16815.826836954424,2022,0,1,0,1,0,0,1
MG,J03,agrário,9309.903255671525,2022,0,0,0,0,1,0,1
RS,J02,consumidor,5159.439515790515,2020,1,1,0,0,1,1,1
MG,J02,cível,9419.483067860536,2022,0,1,0,1,0,0,0
RJ,J03,cível,8950.78861004157,2020,0,0,1,1,0,0,0
SP,J02,agrário,30933.10887763173,2021,0,0,1,0,0,1,0
MG,J01,trabalhista,9909.32834297238,2023,1,0,1,0,1,1,1
RS,J02,agrário,17306.324146600262,2023,1,1,1,1,1,0,1
MG,J01,cível,27094.053670565158,2024,1,0,0,1,1,0,1
MG,J03,agrário,12284.839432243178,2020,0,1,1,1,1,0,0
RJ,J03,agrário,21170.04453470033,2020,1,0,1,1,0,1,1
RS,J03,trabalhista,8269.009262354839,2024,0,1,0,0,0,0,0
MG,J02,consumidor,111489.7763794597,2020,1,1,0,1,0,0,0
SP,J03,consumidor,6808.913243863244,2020,1,1,0,1,1,0,0
MG,J03,agrário,4473.7293898254,2023,1,0,1,0,0,0,1
RJ,J03,agrário,24022.03770955431,2021,0,1,0,1,0,0,0
SP,J02,cível,17550.921784535116,2024,1,1,0,0,1,1,0
RS,J02,agrário,7862.641213409881,2022,1,1,0,1,1,1,1
SP,J03,agrário,184933.2007862211,2023,0,1,0,0,0,1,1
MG,J02,cível,18661.92542333937,2024,1,0,1,0,1,1,1
RJ,J01,consumidor,10708.735946167908,2022,0,1,1,0,1,1,0
SP,J02,trabalhista,2997.376486928478,2024,1,1,0,0,0,1,1
RJ,J01,trabalhista,28762.783605473633,2020,1,1,0,1,1,1,0
SP,J02,agrário,74555.20201190803,2021,1,1,0,1,1,0,1
MG,J02,consumidor,38553.04019224749,2023,0,1,1,1,0,0,0
RS,J02,consumidor,15059.05469623878,2024,0,0,0,0,1,1,1
SP,J02,consumidor,33811.7103076228,2023,1,1,1,1,1,1,1
SP,J03,cível,1943.0852587548793,2020,1,0,1,1,1,0,0
RS,J01,consumidor,28853.765249638665,2020,0,1,0,0,0,1,1
RJ,J03,cível,20533.91300272786,2023,0,1,1,1,1,0,0
RJ,J01,consumidor,36280.17101206013,2023,1,1,1,0,0,0,0
SP,J01,trabalhista,59298.99188149504,2021,1,0,1,1,0,1,1
MG,J03,agrário,121893.4160086749,2021,0,0,1,0,1,0,0
MG,J03,trabalhista,137978.61165124172,2021,0,1,0,1,0,0,0
RJ,J01,cível,7636.699349746942,2022,1,1,1,1,0,1,1
RJ,J02,cível,27999.28444007086,2022,1,1,0,0,1,1,0
SP,J02,trabalhista,52711.63427360978,2024,1,0,0,1,1,0,0
RS,J02,consumidor,3395.42851882957,2020,1,0,0,0,1,1,0
RS,J03,cível,36961.25839291538,2021,0,0,0,1,0,1,0
SP,J03,agrário,45500.87202406476,2021,0,1,1,1,1,1,0
RJ,J03,cível,7684.832522118811,2020,1,1,1,1,0,1,0
RJ,J02,cível,23133.50005523251,2021,0,0,0,1,1,1,0
RJ,J02,cível,28270.312838897065,2023,0,1,0,1,1,1,0
MG,J03,agrário,9328.723744286479,2024,0,1,1,1,0,0,0
SP,J01,cível,46437.357180831175,2024,1,0,0,1,0,0,1
MG,J03,agrário,31938.827022215602,2022,0,1,1,1,1,1,0
MG,J02,agrário,29428.630094890967,2021,0,0,1,0,1,0,0
SP,J03,consumidor,13641.503133998785,2024,1,1,1,0,1,0,0
RS,J03,cível,21821.09060631146,2022,0,0,1,0,0,0,0
SP,J02,trabalhista,5369.634094639859,2022,1,1,0,0,1,0,0
RS,J03,cível,4014.7099338713797,2021,0,1,0,0,1,0,0
SP,J02,consumidor,12933.952128437038,2020,1,0,1,1,0,1,0
SP,J01,consumidor,89711.19829925125,2021,1,1,0,0,1,0,0
RS,J01,agrário,21016.030435708835,2020,0,1,1,0,1,1,0
MG,J02,cível,11035.702063576578,2023,1,0,1,0,0,0,1
RJ,J02,agrário,4514.928413930578,2024,0,1,1,0,0,0,0
RS,J03,cível,7675.583279228407,2024,0,1,0,1,0,0,0
SP,J03,consumidor,22019.93707075364,2020,0,1,1,1,1,1,1
MG,J01,trabalhista,115896.35583627284,2022,1,1,0,0,1,0,0
RJ,J02,agrário,5089.397193832562,2021,0,1,0,1,0,0,0
MG,J02,trabalhista,93228.62473636724,2021,0,0,1,1,0,0,0
MG,J02,agrário,126202.47490233599,2021,1,1,1,1,0,0,0
SP,J03,agrário,96485.87689967746,2023,1,1,0,0,1,1,0
MG,J01,consumidor,99697.20268799402,2023,0,1,0,0,0,1,0
RJ,J03,trabalhista,29344.080533394,2023,1,1,1,1,1,0,0
RS,J01,trabalhista,13864.841323145909,2024,1,0,0,0,0,0,0
MG,J03,trabalhista,72737.23930835279,2022,0,0,0,0,1,0,0
SP,J01,trabalhista,14779.539198367649,2024,0,1,0,1,0,1,0
RJ,J01,cível,4269.861078107829,2024,0,1,0,0,1,1,1
MG,J02,cível,13494.355705610613,2023,1,0,1,1,0,1,1
MG,J02,agrário,27772.584545769092,2023,1,1,0,0,0,1,0
RS,J01,agrário,107711.33781421416,2021,1,1,0,1,0,1,1
RJ,J03,agrário,9379.656327573231,2023,0,1,1,1,1,0,1
RJ,J01,agrário,119300.44157613043,2023,1,0,1,0,1,0,1
RJ,J02,consumidor,2768.953305559272,2022,1,1,1,1,0,1,0
RJ,J01,trabalhista,47814.678362153754,2022,0,1,1,0,1,0,0
MG,J01,consumidor,1032.9443178427366,2023,0,0,0,1,1,1,0
RJ,J02,cível,27213.672678477702,2021,0,0,0,0,1,1,1
SP,J01,consumidor,22717.532322799965,2022,0,1,1,1,1,0,1
RJ,J02,consumidor,5525.642334078295,2023,1,1,0,1,1,0,1
SP,J02,agrário,22202.943793403207,2020,0,1,1,1,0,1,0
SP,J02,consumidor,17048.272580462268,2022,1,1,1,1,1,0,0
RJ,J03,cível,4778.99023327282,2020,0,1,0,1,0,0,1
MG,J01,consumidor,10706.567702844928,2022,1,1,0,0,0,1,0
RS,J02,consumidor,44945.26127805698,2024,1,0,0,0,0,1,1
RJ,J02,cível,82139.42443019598,2022,1,1,0,0,1,0,0
MG,J01,agrário,32396.79015737981,2023,0,1,1,0,1,1,0
RS,J03,agrário,10772.232636378716,2020,0,0,1,0,1,0,1
RS,J01,trabalhista,42225.72552234714,2024,0,0,0,0,1,0,1
RS,J01,trabalhista,25114.623457350994,2021,1,1,1,1,1,0,0
RJ,J03,trabalhista,9239.694072531234,2024,0,1,1,1,0,1,0
RJ,J01,cível,39310.31056376484,2024,0,1,1,1,0,0,1
RJ,J02,cível,49157.8911217516,2020,0,0,0,1,1,1,1
SP,J03,agrário,50803.258727865825,2020,0,1,0,1,0,0,1
SP,J02,trabalhista,6726.5479555105785,2020,0,0,0,1,0,0,1
RS,J02,trabalhista,33585.60983703088,2022,1,0,1,1,0,0,1
RS,J01,agrário,71221.00757952635,2022,0,1,0,0,0,1,1
RJ,J01,trabalhista,17394.03915886202,2024,1,1,0,0,0,1,0
RJ,J02,consumidor,22553.156479802794,2021,1,1,0,1,0,0,1
SP,J02,consumidor,58643.84102454354,2022,1,0,0,1,0,1,0
SP,J02,consumidor,13532.13224640094,2021,0,0,0,1,1,0,0
RJ,J01,consumidor,28372.135647090774,2024,0,0,1,1,1,1,0
MG,J02,consumidor,16597.122162470412,2020,0,1,1,1,0,1,1
RJ,J01,consumidor,30990.143861911594,2022,1,1,1,0,1,1,0
RJ,J02,trabalhista,3253.78519151509,2022,0,1,0,0,0,0,0
RS,J03,agrário,22543.076721501264,2020,0,1,0,0,0,1,1
SP,J03,cível,12396.95284087193,2024,0,0,0,0,0,1,0
RS,J01,cível,17299.807553372306,2024,0,1,0,1,1,1,1
RJ,J01,trabalhista,21369.14044668857,2024,0,0,1,0,0,1,0
RJ,J03,cível,9917.69723520973,2024,0,0,0,0,0,1,0
RJ,J01,trabalhista,14099.427849558637,2020,1,0,0,0,0,1,0
MG,J01,trabalhista,11636.438047094898,2023,0,0,0,1,0,0,0
SP,J03,trabalhista,11376.85200456461,2022,1,0,1,0,0,1,0
RJ,J03,cível,56849.16133213867,2024,0,0,0,0,0,1,0
RS,J03,agrário,18885.427251249665,2023,1,1,0,1,0,1,1
SP,J01,trabalhista,32597.301134807134,2022,1,0,1,0,0,1,0
MG,J03,trabalhista,7475.3961515153405,2021,0,0,1,1,1,0,1
RJ,J02,trabalhista,9436.549221140824,2024,1,0,1,0,1,0,0
MG,J02,trabalhista,15770.63600652283,2020,0,0,1,0,0,0,1
RJ,J01,cível,13424.808661950588,2021,1,0,0,1,0,1,0
MG,J02,trabalhista,67656.70844889464,2023,1,0,1,0,1,1,0
RJ,J03,consumidor,23628.803964552586,2020,0,0,1,1,0,0,1
RS,J01,cível,85170.09162474108,2020,0,1,0,1,1,0,1
MG,J01,trabalhista,17513.57443675387,2020,1,1,1,1,0,1,0
SP,J03,consumidor,74678.52038378135,2022,1,1,1,0,1,0,0
RJ,J01,consumidor,8337.227828005098,2022,0,1,1,0,0,1,1
MG,J02,consumidor,4902.93844950538,2024,1,0,1,0,0,0,1
RJ,J02,consumidor,29900.834033470994,2021,0,0,1,1,0,0,1
RS,J01,consumidor,25389.75294772371,2022,1,1,0,1,1,0,1
MG,J03,trabalhista,117036.06566885253,2023,1,1,1,0,0,1,1
MG,J02,trabalhista,58938.71800399366,2022,1,0,0,0,1,0,0
MG,J02,agrário,194004.20865045753,2023,1,1,0,1,0,1,0
RS,J02,consumidor,19703.592503241987,2024,1,0,0,0,0,0,1
MG,J02,consumidor,11042.390579264058,2023,0,1,0,1,0,1,0
RJ,J02,cível,5520.968803287924,2022,1,0,0,0,1,1,1
RJ,J01,cível,20616.885250070045,2023,1,0,0,0,1,1,0
SP,J03,trabalhista,21168.33124956765,2021,1,0,0,1,1,1,0
RS,J03,trabalhista,4039.220066055834,2024,0,1,0,1,1,0,0
SP,J02,trabalhista,59184.1462038646,2020,0,0,1,1,1,1,0
