area,area_juridica,tipo_processo,foro,valor_causa,complexidade,duracao_esperada,descricao,probabilidade_sucesso,prescricao,nulidade_prova,ilegitimidade,impugnacao_pericia,acordo_proposto,decadencia,incompetencia,conexao
previdenciario,Direito Previdenciário,Previdenciário,ES,155326,Alta,19,Processo jurídico na área de previdenciario,0.82,1,0,0,1,0,0,0,0
agrario,Direito Agrário,Agrário,MS,3452479,Alta,21,Ação de usucapião de imóvel rural,0.6,0,0,1,0,0,0,0,0
civil,Direito Civil,Civil,PE,39022,Alta,18,Cobrança de dívida com pedido de penhora de bens,0.8,1,1,1,0,0,0,0,0
civil,Direito Civil,Civil,RJ,455201,Média,12,Rescisão contratual com pedido de restituição de valores,0.7,0,1,0,0,0,0,0,0
empresarial,Direito Empresarial,Empresarial,CE,38625911,Média,14,Processo jurídico na área de empresarial,0.78,0,0,0,0,1,0,0,1
penal,Direito Penal,Penal,SP,0,Baixa,16,Ação penal por crime ambiental,0.5,0,0,0,0,0,0,1,0
consumidor,Direito do Consumidor,Civil,RJ,13446,Baixa,7,Cobrança indevida de tarifa bancária com pedido de repetição,0.85,0,1,0,0,1,0,0,0
ambiental,Direito Ambiental,Ambiental,RJ,33730636,Média,22,Processo jurídico na área de ambiental,0.63,0,0,0,0,0,0,1,0
consumidor,Direito do Consumidor,Civil,ES,32847,Média,10,Cobrança indevida de tarifa bancária com pedido de repetição,0.85,0,1,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,ES,13785,Média,8,Reclamação trabalhista com pedido de horas extras,0.8,1,0,0,0,1,0,0,0
empresarial,Direito Empresarial,Empresarial,RS,34279988,Baixa,13,Processo jurídico na área de empresarial,0.83,0,1,0,0,1,0,0,1
trabalhista,Direito Trabalhista,Trabalhista,DF,45656,Baixa,5,Reclamação trabalhista com pedido de horas extras,0.85,1,1,0,0,1,0,0,0
civil,Direito Civil,Civil,SP,101478,Média,12,Ação de despejo por falta de pagamento,0.75,1,0,1,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,PE,44606,Baixa,6,Negativação indevida do nome do consumidor,0.9,0,1,1,0,1,0,0,0
previdenciario,Direito Previdenciário,Previdenciário,SP,193009,Média,16,Processo jurídico na área de previdenciario,0.87,1,0,0,1,1,0,0,0
administrativo,Direito Administrativo,Administrativo,MS,334287,Média,20,Processo jurídico na área de administrativo,0.57,0,1,0,0,0,0,0,0
civil,Direito Civil,Civil,PR,283447,Média,12,Ação de despejo por falta de pagamento,0.75,1,0,1,0,0,0,0,0
administrativo,Direito Administrativo,Administrativo,ES,612331,Média,20,Processo jurídico na área de administrativo,0.57,0,0,0,0,0,0,1,0
tributario,Direito Tributário,Tributário,RJ,9289534,Alta,28,Mandado de segurança contra cobrança de ICMS,0.75,1,1,1,0,0,0,0,0
civil,Direito Civil,Civil,MT,450029,Alta,15,Rescisão contratual com pedido de restituição de valores,0.7,0,1,0,0,0,0,0,0
civil,Direito Civil,Civil,PR,153257,Média,12,Rescisão contratual com pedido de restituição de valores,0.75,1,0,1,0,0,0,0,0
previdenciario,Direito Previdenciário,Previdenciário,MT,29581,Baixa,15,Processo jurídico na área de previdenciario,0.82,1,0,0,0,1,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,CE,53243,Média,8,Reclamação trabalhista com pedido de horas extras,0.75,1,0,0,0,0,0,0,0
civil,Direito Civil,Civil,PR,180087,Alta,16,Cobrança de dívida com pedido de penhora de bens,0.8,1,1,1,0,0,0,0,0
penal,Direito Penal,Penal,BA,0,Média,18,Processo por lesão corporal dolosa,0.6,0,1,1,0,0,0,1,0
agrario,Direito Agrário,Agrário,RJ,4583296,Alta,18,Desapropriação para fins de reforma agrária,0.65,0,0,1,1,0,0,0,0
consumidor,Direito do Consumidor,Civil,BA,9418,Baixa,9,Propaganda enganosa com pedido de indenização,0.85,0,1,1,0,0,0,0,0
civil,Direito Civil,Civil,MS,236236,Baixa,9,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.75,1,0,1,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,RJ,1207,Baixa,7,Cobrança indevida de tarifa bancária com pedido de repetição,0.9,0,1,1,0,1,0,0,0
tributario,Direito Tributário,Tributário,CE,1835597,Média,24,Repetição de indébito tributário,0.65,0,0,1,0,0,0,0,0
penal,Direito Penal,Penal,SP,0,Alta,25,Ação penal por crime ambiental,0.6,0,1,1,0,0,0,1,0
civil,Direito Civil,Civil,MS,245629,Alta,18,Cobrança de dívida com pedido de penhora de bens,0.7,0,1,0,0,0,0,0,0
civil,Direito Civil,Civil,SC,396399,Média,12,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.7,0,0,1,0,0,0,0,0
empresarial,Direito Empresarial,Empresarial,RJ,30288948,Baixa,11,Processo jurídico na área de empresarial,0.78,0,1,0,0,1,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,BA,62226,Média,8,Ação de rescisão indireta por assédio moral,0.85,1,1,0,0,1,0,0,0
agrario,Direito Agrário,Agrário,RS,1553730,Alta,20,Desapropriação para fins de reforma agrária,0.7,1,0,1,1,0,0,0,0
civil,Direito Civil,Civil,MT,334417,Alta,15,Rescisão contratual com pedido de restituição de valores,0.7,0,1,0,0,0,0,0,0
agrario,Direito Agrário,Agrário,MT,1422959,Baixa,11,Desapropriação para fins de reforma agrária,0.65,1,0,0,1,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,PR,76349,Baixa,7,Equiparação salarial entre empregados,0.85,1,1,0,0,1,0,0,0
civil,Direito Civil,Civil,ES,381019,Média,12,Cobrança de dívida com pedido de penhora de bens,0.8,1,1,1,0,0,0,0,0
administrativo,Direito Administrativo,Administrativo,GO,391151,Média,20,Processo jurídico na área de administrativo,0.62,0,1,0,0,0,0,1,0
empresarial,Direito Empresarial,Empresarial,MG,26353491,Média,14,Processo jurídico na área de empresarial,0.83,0,1,0,0,1,0,0,1
consumidor,Direito do Consumidor,Civil,RJ,39897,Média,10,Cobrança indevida de tarifa bancária com pedido de repetição,0.9,0,1,1,0,1,0,0,0
administrativo,Direito Administrativo,Administrativo,PR,549150,Média,20,Processo jurídico na área de administrativo,0.67,0,1,1,0,0,0,1,0
trabalhista,Direito Trabalhista,Trabalhista,SP,66835,Média,8,Cobrança de verbas rescisórias não pagas,0.75,0,0,0,0,1,0,0,0
civil,Direito Civil,Civil,GO,456063,Alta,18,Rescisão contratual com pedido de restituição de valores,0.7,0,0,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,MT,3427,Média,8,Ação de rescisão indireta por assédio moral,0.85,1,1,0,0,1,0,0,0
civil,Direito Civil,Civil,SC,406922,Média,12,Rescisão contratual com pedido de restituição de valores,0.8,1,1,1,0,0,0,0,0
agrario,Direito Agrário,Agrário,RJ,70905,Média,15,Regularização fundiária de propriedade rural,0.65,0,0,1,1,0,0,0,0
administrativo,Direito Administrativo,Administrativo,RS,311493,Baixa,18,Processo jurídico na área de administrativo,0.57,0,1,0,0,0,0,0,0
civil,Direito Civil,Civil,ES,141691,Média,12,Cobrança de dívida com pedido de penhora de bens,0.8,1,1,1,0,0,0,0,0
civil,Direito Civil,Civil,RS,270595,Média,12,Ação de despejo por falta de pagamento,0.8,1,1,1,0,0,0,0,0
civil,Direito Civil,Civil,PR,293890,Média,12,Rescisão contratual com pedido de restituição de valores,0.75,1,0,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,SC,61482,Baixa,5,Reclamação trabalhista com pedido de horas extras,0.85,1,1,0,0,1,0,0,0
consumidor,Direito do Consumidor,Civil,DF,13253,Baixa,9,Negativação indevida do nome do consumidor,0.85,0,1,0,0,1,0,0,0
agrario,Direito Agrário,Agrário,SP,87764,Média,15,Ação de usucapião de imóvel rural,0.65,1,0,0,1,0,0,0,0
civil,Direito Civil,Civil,DF,262400,Baixa,11,Cobrança de dívida com pedido de penhora de bens,0.7,1,0,0,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,DF,74666,Baixa,4,Cobrança de verbas rescisórias não pagas,0.85,1,1,0,0,1,0,0,0
agrario,Direito Agrário,Agrário,RJ,2498545,Média,15,Ação de usucapião de imóvel rural,0.65,1,0,1,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,SC,31694,Alta,17,Vício em produto com pedido de substituição,0.8,0,0,0,0,1,0,0,0
consumidor,Direito do Consumidor,Civil,DF,20101,Baixa,8,Negativação indevida do nome do consumidor,0.8,0,0,0,0,1,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,RJ,11508,Média,8,Ação de rescisão indireta por assédio moral,0.8,1,0,0,0,1,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,SP,36179,Alta,13,Equiparação salarial entre empregados,0.75,1,0,0,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,RS,2228,Média,10,Propaganda enganosa com pedido de indenização,0.85,0,1,0,0,1,0,0,0
civil,Direito Civil,Civil,CE,183374,Baixa,8,Rescisão contratual com pedido de restituição de valores,0.8,1,1,1,0,0,0,0,0
civil,Direito Civil,Civil,MT,350713,Média,12,Ação de despejo por falta de pagamento,0.7,1,0,0,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,SP,6848,Baixa,6,Reclamação trabalhista com pedido de horas extras,0.8,1,0,0,0,1,0,0,0
consumidor,Direito do Consumidor,Civil,GO,1240,Baixa,7,Cobrança indevida de tarifa bancária com pedido de repetição,0.9,0,1,1,0,1,0,0,0
empresarial,Direito Empresarial,Empresarial,SC,23330448,Baixa,11,Processo jurídico na área de empresarial,0.78,0,1,0,0,1,0,0,0
consumidor,Direito do Consumidor,Civil,SC,1682,Média,10,Vício em produto com pedido de substituição,0.85,0,0,1,0,1,0,0,0
empresarial,Direito Empresarial,Empresarial,MT,35409927,Média,14,Processo jurídico na área de empresarial,0.73,0,0,0,0,1,0,0,0
tributario,Direito Tributário,Tributário,MT,7755971,Média,24,Execução fiscal de débito previdenciário,0.65,1,0,0,0,0,0,0,0
civil,Direito Civil,Civil,PR,467866,Média,12,Rescisão contratual com pedido de restituição de valores,0.8,1,1,1,0,0,0,0,0
tributario,Direito Tributário,Tributário,GO,461604,Alta,31,Repetição de indébito tributário,0.7,0,1,1,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,GO,44916,Baixa,7,Vício em produto com pedido de substituição,0.85,0,0,1,0,1,0,0,0
penal,Direito Penal,Penal,SP,0,Média,18,Investigação de crime tributário,0.55,0,1,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,CE,3830,Alta,15,Reclamação trabalhista com pedido de horas extras,0.8,0,1,0,0,1,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,PR,50375,Baixa,7,Cobrança de verbas rescisórias não pagas,0.75,0,0,0,0,1,0,0,0
civil,Direito Civil,Civil,PR,255976,Média,12,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.75,1,1,0,0,0,0,0,0
civil,Direito Civil,Civil,DF,132419,Média,12,Cobrança de dívida com pedido de penhora de bens,0.7,1,0,0,0,0,0,0,0
agrario,Direito Agrário,Agrário,DF,3766507,Alta,22,Desapropriação para fins de reforma agrária,0.6,0,0,0,1,0,0,0,0
penal,Direito Penal,Penal,GO,0,Alta,22,Ação penal por crime contra o patrimônio,0.5,0,0,1,0,0,0,0,0
civil,Direito Civil,Civil,GO,400367,Média,12,Cobrança de dívida com pedido de penhora de bens,0.8,1,1,1,0,0,0,0,0
tributario,Direito Tributário,Tributário,DF,6278536,Alta,29,Repetição de indébito tributário,0.65,1,0,0,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,MS,20346,Baixa,6,Negativação indevida do nome do consumidor,0.9,0,1,1,0,1,0,0,0
civil,Direito Civil,Civil,MS,87998,Alta,18,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.7,0,1,0,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,GO,36831,Baixa,8,Cobrança indevida de tarifa bancária com pedido de repetição,0.9,0,1,1,0,1,0,0,0
civil,Direito Civil,Civil,DF,36462,Baixa,10,Ação de despejo por falta de pagamento,0.75,1,1,0,0,0,0,0,0
empresarial,Direito Empresarial,Empresarial,MS,31149897,Média,14,Processo jurídico na área de empresarial,0.83,0,1,0,0,1,0,0,1
consumidor,Direito do Consumidor,Civil,RS,12977,Baixa,7,Negativação indevida do nome do consumidor,0.85,0,1,1,0,0,0,0,0
previdenciario,Direito Previdenciário,Previdenciário,MS,18772,Média,16,Processo jurídico na área de previdenciario,0.77,0,0,0,1,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,SP,81409,Baixa,4,Ação de rescisão indireta por assédio moral,0.8,1,0,0,0,1,0,0,0
penal,Direito Penal,Penal,MT,0,Alta,26,Processo por lesão corporal dolosa,0.55,0,0,1,0,0,0,1,0
trabalhista,Direito Trabalhista,Trabalhista,DF,26018,Baixa,5,Ação de rescisão indireta por assédio moral,0.75,0,0,0,0,1,0,0,0
administrativo,Direito Administrativo,Administrativo,MS,380708,Média,20,Processo jurídico na área de administrativo,0.57,0,0,0,0,0,0,1,0
trabalhista,Direito Trabalhista,Trabalhista,PE,34988,Média,8,Cobrança de verbas rescisórias não pagas,0.8,1,0,0,0,1,0,0,0
civil,Direito Civil,Civil,DF,28884,Média,12,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.75,1,1,0,0,0,0,0,0
civil,Direito Civil,Civil,MT,425547,Baixa,9,Rescisão contratual com pedido de restituição de valores,0.8,1,1,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,PE,96029,Média,8,Equiparação salarial entre empregados,0.8,0,1,0,0,1,0,0,0
civil,Direito Civil,Civil,BA,303763,Média,12,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.8,1,1,1,0,0,0,0,0
penal,Direito Penal,Penal,BA,0,Alta,25,Processo por lesão corporal dolosa,0.55,0,1,0,0,0,0,1,0
agrario,Direito Agrário,Agrário,MS,356543,Baixa,11,Desapropriação para fins de reforma agrária,0.6,1,0,0,0,0,0,0,0
agrario,Direito Agrário,Agrário,SP,475362,Média,15,Regularização fundiária de propriedade rural,0.7,1,0,1,1,0,0,0,0
civil,Direito Civil,Civil,MG,36559,Baixa,11,Ação de despejo por falta de pagamento,0.7,0,0,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,ES,63022,Média,8,Cobrança de verbas rescisórias não pagas,0.8,1,0,0,0,1,0,0,0
civil,Direito Civil,Civil,MT,244113,Baixa,11,Cobrança de dívida com pedido de penhora de bens,0.8,1,1,1,0,0,0,0,0
previdenciario,Direito Previdenciário,Previdenciário,SP,169575,Baixa,12,Processo jurídico na área de previdenciario,0.82,0,0,0,1,1,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,GO,63438,Média,8,Reclamação trabalhista com pedido de horas extras,0.75,0,1,0,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,PR,29028,Média,10,Cobrança indevida de tarifa bancária com pedido de repetição,0.85,0,1,0,0,1,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,MG,89603,Alta,12,Reclamação trabalhista com pedido de horas extras,0.75,0,0,0,0,1,0,0,0
penal,Direito Penal,Penal,MT,0,Alta,22,Ação penal por crime ambiental,0.55,0,1,0,0,0,0,1,0
tributario,Direito Tributário,Tributário,PR,5518868,Baixa,23,Execução fiscal de débito previdenciário,0.65,1,0,0,0,0,0,0,0
civil,Direito Civil,Civil,DF,489545,Média,12,Cobrança de dívida com pedido de penhora de bens,0.8,1,1,1,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,MG,33582,Média,10,Propaganda enganosa com pedido de indenização,0.9,0,1,1,0,1,0,0,0
civil,Direito Civil,Civil,MG,339742,Baixa,10,Rescisão contratual com pedido de restituição de valores,0.8,1,1,1,0,0,0,0,0
civil,Direito Civil,Civil,BA,152693,Média,12,Ação de despejo por falta de pagamento,0.7,0,0,1,0,0,0,0,0
administrativo,Direito Administrativo,Administrativo,SC,209032,Média,20,Processo jurídico na área de administrativo,0.57,0,1,0,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,SP,22532,Baixa,7,Negativação indevida do nome do consumidor,0.9,0,1,1,0,1,0,0,0
consumidor,Direito do Consumidor,Civil,GO,26830,Baixa,7,Negativação indevida do nome do consumidor,0.9,0,1,1,0,1,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,SP,40654,Média,8,Cobrança de verbas rescisórias não pagas,0.8,1,1,0,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,BA,46070,Baixa,9,Negativação indevida do nome do consumidor,0.8,0,0,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,SC,96575,Baixa,5,Ação de rescisão indireta por assédio moral,0.85,1,1,0,0,1,0,0,0
civil,Direito Civil,Civil,BA,469240,Baixa,8,Rescisão contratual com pedido de restituição de valores,0.7,0,1,0,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,PR,9591,Baixa,7,Ação de rescisão indireta por assédio moral,0.85,1,1,0,0,1,0,0,0
agrario,Direito Agrário,Agrário,ES,3248155,Alta,18,Ação de usucapião de imóvel rural,0.6,0,0,1,0,0,0,0,0
agrario,Direito Agrário,Agrário,PE,494944,Média,15,Conflito de terras entre posseiros,0.7,1,0,1,1,0,0,0,0
consumidor,Direito do Consumidor,Civil,SC,38185,Alta,18,Vício em produto com pedido de substituição,0.9,0,1,1,0,1,0,0,0
previdenciario,Direito Previdenciário,Previdenciário,DF,145880,Média,16,Processo jurídico na área de previdenciario,0.82,1,0,0,1,0,0,0,0
civil,Direito Civil,Civil,MG,429866,Baixa,11,Cobrança de dívida com pedido de penhora de bens,0.75,1,1,0,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,RJ,41089,Média,10,Negativação indevida do nome do consumidor,0.9,0,1,1,0,1,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,SC,60259,Média,8,Cobrança de verbas rescisórias não pagas,0.8,0,1,0,0,1,0,0,0
administrativo,Direito Administrativo,Administrativo,SC,694504,Alta,27,Processo jurídico na área de administrativo,0.62,0,1,0,0,0,0,1,0
agrario,Direito Agrário,Agrário,ES,2163589,Alta,21,Regularização fundiária de propriedade rural,0.65,1,0,1,0,0,0,0,0
agrario,Direito Agrário,Agrário,RJ,3081492,Alta,22,Regularização fundiária de propriedade rural,0.65,0,0,1,1,0,0,0,0
empresarial,Direito Empresarial,Empresarial,ES,25644675,Alta,19,Processo jurídico na área de empresarial,0.83,0,1,0,0,1,0,0,1
tributario,Direito Tributário,Tributário,DF,6372555,Baixa,23,Ação anulatória de auto de infração,0.75,1,1,1,0,0,0,0,0
agrario,Direito Agrário,Agrário,PE,3213503,Alta,20,Regularização fundiária de propriedade rural,0.6,1,0,0,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,CE,66772,Baixa,4,Cobrança de verbas rescisórias não pagas,0.85,1,1,0,0,1,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,RJ,66419,Alta,14,Ação de rescisão indireta por assédio moral,0.8,1,1,0,0,0,0,0,0
civil,Direito Civil,Civil,BA,128111,Média,12,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.75,1,1,0,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,MG,13200,Baixa,7,Vício em produto com pedido de substituição,0.85,0,1,0,0,1,0,0,0
civil,Direito Civil,Civil,MG,255129,Média,12,Cobrança de dívida com pedido de penhora de bens,0.75,1,0,1,0,0,0,0,0
civil,Direito Civil,Civil,BA,211449,Média,12,Cobrança de dívida com pedido de penhora de bens,0.8,1,1,1,0,0,0,0,0
constitucional,Direito Constitucional,Constitucional,RJ,0,Alta,34,Processo jurídico na área de constitucional,0.58,0,0,0,0,0,0,1,1
constitucional,Direito Constitucional,Constitucional,MS,0,Alta,38,Processo jurídico na área de constitucional,0.53,0,1,0,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,RS,2387,Baixa,7,Negativação indevida do nome do consumidor,0.85,0,0,1,0,1,0,0,0
previdenciario,Direito Previdenciário,Previdenciário,ES,59418,Média,16,Processo jurídico na área de previdenciario,0.77,0,0,0,0,1,0,0,0
consumidor,Direito do Consumidor,Civil,PE,4185,Baixa,8,Vício em produto com pedido de substituição,0.9,0,1,1,0,1,0,0,0
militar,Direito Militar,Militar,CE,0,Baixa,8,Processo jurídico na área de militar,0.65,0,1,1,0,0,0,1,0
agrario,Direito Agrário,Agrário,SC,4854033,Alta,19,Regularização fundiária de propriedade rural,0.6,0,0,0,1,0,0,0,0
agrario,Direito Agrário,Agrário,GO,2027242,Alta,20,Regularização fundiária de propriedade rural,0.6,0,0,1,0,0,0,0,0
penal,Direito Penal,Penal,RJ,0,Baixa,14,Investigação de crime tributário,0.55,0,1,0,0,0,0,1,0
agrario,Direito Agrário,Agrário,PE,4552302,Média,15,Desapropriação para fins de reforma agrária,0.6,0,0,0,1,0,0,0,0
civil,Direito Civil,Civil,BA,475914,Média,12,Cobrança de dívida com pedido de penhora de bens,0.7,1,0,0,0,0,0,0,0
civil,Direito Civil,Civil,GO,452364,Baixa,9,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.75,0,1,1,0,0,0,0,0
empresarial,Direito Empresarial,Empresarial,MS,15616300,Média,14,Processo jurídico na área de empresarial,0.73,0,0,0,0,0,0,0,1
trabalhista,Direito Trabalhista,Trabalhista,PR,70616,Média,8,Cobrança de verbas rescisórias não pagas,0.85,1,1,0,0,1,0,0,0
civil,Direito Civil,Civil,SC,161955,Média,12,Rescisão contratual com pedido de restituição de valores,0.7,0,1,0,0,0,0,0,0
civil,Direito Civil,Civil,MS,100849,Média,12,Ação de despejo por falta de pagamento,0.75,1,1,0,0,0,0,0,0
civil,Direito Civil,Civil,RJ,441307,Baixa,8,Cobrança de dívida com pedido de penhora de bens,0.75,0,1,1,0,0,0,0,0
agrario,Direito Agrário,Agrário,ES,417269,Alta,18,Regularização fundiária de propriedade rural,0.7,1,0,1,1,0,0,0,0
civil,Direito Civil,Civil,CE,456314,Baixa,8,Ação de despejo por falta de pagamento,0.7,0,0,1,0,0,0,0,0
tributario,Direito Tributário,Tributário,PE,7749688,Média,24,Mandado de segurança contra cobrança de ICMS,0.65,0,1,0,0,0,0,0,0
agrario,Direito Agrário,Agrário,RS,212130,Alta,20,Regularização fundiária de propriedade rural,0.65,1,0,1,0,0,0,0,0
penal,Direito Penal,Penal,RS,0,Alta,23,Processo por lesão corporal dolosa,0.55,0,1,0,0,0,0,1,0
previdenciario,Direito Previdenciário,Previdenciário,SC,63124,Baixa,14,Processo jurídico na área de previdenciario,0.77,0,0,0,0,1,0,0,0
